account_id,churn_flag,plan_tier,industry,country,ticket_count,avg_resolution_time_hours,avg_first_response_time_minutes,escalation_count,avg_satisfaction_score,unrated_ticket_count
A-4c38bc,True,Basic,HealthTech,UK,3.0,48.333333333333336,43.0,0.0,3.6666666666666665,1.0
A-1b707d,False,Enterprise,Cybersecurity,US,3.0,42.666666666666664,75.33333333333333,0.0,4.0,3.0
A-6f8ad2,False,Basic,EdTech,IN,4.0,35.25,37.25,0.0,4.25,1.0
A-4d1e75,False,Basic,DevTools,US,2.0,15.0,98.5,0.0,4.0,0.0
A-9ee962,True,Basic,HealthTech,US,3.0,37.0,69.66666666666667,0.0,4.0,2.0
A-378b99,False,Pro,EdTech,UK,6.0,28.5,78.83333333333333,0.0,4.333333333333333,2.0
A-94d3da,False,Basic,HealthTech,US,6.0,26.833333333333332,80.5,0.0,3.6666666666666665,2.0
A-e351e1,False,Enterprise,EdTech,US,4.0,17.0,65.25,0.0,3.75,0.0
A-9badbd,False,Enterprise,Cybersecurity,DE,5.0,30.2,102.6,0.0,4.4,3.0
A-7e0a10,False,Enterprise,FinTech,US,5.0,39.4,62.6,0.0,4.0,3.0
A-118d55,False,Basic,Cybersecurity,US,5.0,24.2,56.8,0.0,4.2,2.0
A-526d93,False,Basic,HealthTech,FR,5.0,51.4,134.6,1.0,3.8,3.0
A-f92792,False,Pro,FinTech,US,2.0,45.0,82.0,0.0,4.0,1.0
A-84ebe4,True,Pro,FinTech,US,4.0,29.5,135.5,0.0,4.0,2.0
A-5b4ebb,True,Basic,Cybersecurity,UK,5.0,35.4,63.0,0.0,4.6,1.0
A-2922b6,False,Basic,HealthTech,US,2.0,15.5,103.0,0.0,4.0,1.0
A-9b9fe9,False,Basic,EdTech,AU,4.0,33.5,156.5,0.0,4.0,1.0
A-a8b49c,False,Basic,Cybersecurity,UK,1.0,72.0,105.0,0.0,4.0,0.0
A-9174e0,False,Basic,Cybersecurity,US,2.0,39.0,167.0,0.0,4.5,1.0
A-a1bbb6,False,Basic,DevTools,CA,3.0,17.666666666666668,120.66666666666667,0.0,4.0,2.0
A-c45b23,False,Basic,FinTech,UK,3.0,36.666666666666664,51.666666666666664,0.0,3.6666666666666665,2.0
A-02cd81,False,Basic,HealthTech,IN,3.0,17.333333333333332,84.66666666666667,1.0,4.333333333333333,1.0
A-ee42db,False,Enterprise,EdTech,DE,4.0,33.75,98.25,0.0,3.75,3.0
A-432483,False,Pro,Cybersecurity,US,1.0,51.0,128.0,0.0,4.0,1.0
A-9208f0,True,Pro,EdTech,US,8.0,41.25,59.75,1.0,3.75,5.0
A-98a59a,False,Enterprise,FinTech,UK,3.0,37.333333333333336,74.0,0.0,4.333333333333333,1.0
A-fe79a5,False,Basic,HealthTech,IN,4.0,28.5,61.0,0.0,4.5,2.0
A-726cfa,False,Pro,DevTools,US,3.0,35.666666666666664,128.33333333333334,0.0,4.0,1.0
A-c43359,False,Pro,FinTech,US,3.0,26.666666666666668,107.33333333333333,0.0,4.0,2.0
A-271f46,True,Pro,DevTools,US,1.0,36.0,79.0,0.0,4.0,1.0
A-157070,False,Pro,FinTech,US,3.0,42.333333333333336,118.0,1.0,3.6666666666666665,2.0
A-40a557,False,Pro,Cybersecurity,AU,7.0,30.571428571428573,94.71428571428571,0.0,3.857142857142857,4.0
A-66224b,False,Pro,HealthTech,US,6.0,39.833333333333336,82.5,0.0,3.5,0.0
A-91e948,False,Basic,EdTech,AU,0.0,0.0,0.0,0.0,0.0,0.0
A-104f1a,False,Pro,Cybersecurity,US,5.0,33.2,50.4,1.0,3.8,1.0
A-7988d1,False,Basic,Cybersecurity,US,3.0,35.333333333333336,65.33333333333333,0.0,4.333333333333333,0.0
A-faa28c,False,Enterprise,HealthTech,US,4.0,52.25,115.5,1.0,4.5,1.0
A-f25509,False,Enterprise,EdTech,US,6.0,42.666666666666664,116.0,0.0,4.333333333333333,3.0
A-3a7284,False,Enterprise,FinTech,US,3.0,56.333333333333336,104.33333333333333,0.0,3.6666666666666665,1.0
A-3a5ad8,False,Enterprise,HealthTech,US,4.0,44.75,53.5,0.0,4.25,2.0
A-65a46c,False,Pro,HealthTech,US,8.0,45.125,91.125,0.0,4.0,3.0
A-8b25f2,True,Pro,Cybersecurity,US,2.0,35.5,50.5,0.0,4.0,0.0
A-fabe19,False,Enterprise,DevTools,UK,3.0,40.666666666666664,38.333333333333336,0.0,4.0,2.0
A-adc1f3,False,Pro,Cybersecurity,US,3.0,47.333333333333336,65.0,0.0,3.6666666666666665,1.0
A-503d5a,True,Enterprise,FinTech,US,9.0,36.55555555555556,81.77777777777777,0.0,4.0,6.0
A-fd7ad3,False,Enterprise,Cybersecurity,US,8.0,48.75,98.125,1.0,4.125,2.0
A-186a44,False,Enterprise,HealthTech,US,7.0,38.285714285714285,110.42857142857143,0.0,3.7142857142857144,3.0
A-e888d1,False,Pro,Cybersecurity,US,5.0,43.0,104.0,1.0,4.0,2.0
A-69fad4,True,Basic,FinTech,UK,4.0,43.0,116.75,0.0,3.75,1.0
A-9289f6,False,Enterprise,EdTech,US,6.0,37.5,70.0,0.0,4.166666666666667,3.0
A-f19409,True,Basic,DevTools,US,3.0,6.333333333333333,103.33333333333333,0.0,4.0,2.0
A-22f2df,False,Basic,DevTools,US,5.0,44.8,71.6,0.0,4.2,4.0
A-039727,False,Pro,EdTech,AU,0.0,0.0,0.0,0.0,0.0,0.0
A-2e3bad,False,Pro,FinTech,CA,5.0,31.4,107.0,0.0,3.8,3.0
A-484819,False,Pro,HealthTech,US,5.0,33.2,139.6,0.0,4.2,3.0
A-425e76,True,Enterprise,DevTools,UK,5.0,48.2,119.2,1.0,3.6,2.0
A-e83938,True,Pro,DevTools,UK,4.0,31.0,72.5,0.0,3.75,3.0
A-ad296b,False,Pro,DevTools,AU,3.0,28.333333333333332,83.33333333333333,1.0,3.6666666666666665,0.0
A-e51ec7,False,Enterprise,FinTech,CA,3.0,37.0,93.33333333333333,0.0,4.333333333333333,2.0
A-0aaf6e,False,Enterprise,FinTech,US,5.0,45.0,75.4,0.0,4.0,3.0
A-e61e98,True,Enterprise,FinTech,US,6.0,30.333333333333332,88.5,1.0,4.5,1.0
A-92a333,False,Enterprise,FinTech,US,4.0,23.25,58.25,1.0,4.0,4.0
A-95b24a,True,Pro,FinTech,US,5.0,21.2,90.4,0.0,4.2,1.0
A-42e5e1,True,Pro,DevTools,US,3.0,29.0,81.33333333333333,0.0,4.0,0.0
A-7d514c,False,Enterprise,HealthTech,DE,3.0,33.333333333333336,49.666666666666664,0.0,4.333333333333333,2.0
A-65aeb5,False,Pro,DevTools,US,2.0,42.5,159.5,0.0,4.5,1.0
A-e2cd1b,False,Enterprise,DevTools,US,5.0,37.8,76.0,0.0,4.0,1.0
A-180abf,True,Pro,DevTools,US,3.0,36.333333333333336,62.333333333333336,0.0,3.6666666666666665,2.0
A-f17767,True,Enterprise,DevTools,US,3.0,36.333333333333336,115.0,1.0,4.0,1.0
A-5a184f,True,Enterprise,DevTools,DE,3.0,15.333333333333334,42.333333333333336,0.0,4.333333333333333,0.0
A-7df7a7,True,Basic,DevTools,US,3.0,28.0,93.0,1.0,4.0,0.0
A-1ac5e0,True,Basic,DevTools,US,7.0,40.42857142857143,76.0,0.0,3.857142857142857,2.0
A-52dd88,False,Pro,Cybersecurity,US,1.0,72.0,111.0,0.0,4.0,1.0
A-bece89,False,Pro,Cybersecurity,IN,4.0,32.5,103.75,1.0,4.0,1.0
A-029f69,False,Basic,Cybersecurity,CA,2.0,42.0,108.0,0.0,3.5,1.0
A-5c046d,False,Basic,EdTech,FR,1.0,13.0,128.0,0.0,3.0,0.0
A-fb186e,False,Basic,EdTech,IN,6.0,26.166666666666668,81.0,0.0,3.8333333333333335,3.0
A-ae052e,False,Basic,FinTech,CA,4.0,31.25,60.5,0.0,4.0,2.0
A-9f9299,False,Enterprise,FinTech,US,5.0,36.2,116.2,0.0,4.2,4.0
A-96e141,False,Basic,DevTools,UK,5.0,32.8,68.4,0.0,4.2,2.0
A-117171,True,Basic,HealthTech,FR,6.0,32.5,68.33333333333333,1.0,3.8333333333333335,3.0
A-313be3,False,Enterprise,EdTech,US,4.0,22.5,80.25,1.0,4.25,3.0
A-671f31,False,Basic,DevTools,US,7.0,33.0,78.0,0.0,4.142857142857143,2.0
A-bbc346,False,Enterprise,FinTech,US,3.0,45.333333333333336,102.66666666666667,0.0,4.333333333333333,1.0
A-c16101,False,Basic,EdTech,IN,4.0,28.0,82.0,1.0,4.25,3.0
A-50f3f7,True,Basic,HealthTech,US,6.0,37.833333333333336,67.83333333333333,1.0,4.5,3.0
A-7da956,False,Pro,Cybersecurity,US,3.0,32.666666666666664,88.0,0.0,4.333333333333333,2.0
A-019782,False,Enterprise,DevTools,FR,2.0,10.0,107.0,0.0,3.5,1.0
A-df10db,False,Enterprise,DevTools,US,2.0,68.5,86.5,1.0,3.0,0.0
A-3932db,True,Pro,HealthTech,CA,6.0,41.0,86.5,0.0,4.166666666666667,3.0
A-4f18f0,False,Pro,DevTools,CA,5.0,39.2,61.4,0.0,4.0,1.0
A-4c6f11,True,Pro,FinTech,CA,3.0,44.666666666666664,63.0,0.0,4.333333333333333,0.0
A-8ae05d,False,Enterprise,FinTech,IN,1.0,47.0,48.0,0.0,4.0,0.0
A-b78bf8,False,Pro,DevTools,US,5.0,24.2,88.8,0.0,4.2,0.0
A-eafc6e,True,Pro,DevTools,US,1.0,64.0,136.0,0.0,4.0,1.0
A-37f969,False,Enterprise,HealthTech,IN,5.0,22.2,94.0,1.0,3.8,2.0
A-10b8f2,False,Basic,HealthTech,DE,3.0,46.333333333333336,67.0,0.0,4.333333333333333,0.0
A-439b2f,True,Enterprise,DevTools,US,3.0,18.333333333333332,85.33333333333333,0.0,4.0,3.0
A-544d0a,False,Basic,DevTools,US,2.0,38.5,98.0,1.0,4.0,0.0
A-ba6516,False,Pro,FinTech,US,6.0,31.5,71.0,0.0,4.0,2.0
A-712426,False,Enterprise,HealthTech,US,6.0,37.333333333333336,79.16666666666667,0.0,4.333333333333333,1.0
A-038089,True,Pro,DevTools,FR,6.0,30.166666666666668,86.16666666666667,0.0,3.8333333333333335,3.0
A-afa505,False,Basic,DevTools,US,4.0,37.25,88.25,1.0,3.5,2.0
A-d5a319,True,Enterprise,FinTech,US,1.0,17.0,132.0,1.0,4.0,0.0
A-f97b9a,False,Pro,FinTech,US,7.0,31.714285714285715,69.85714285714286,0.0,3.857142857142857,4.0
A-2f6a32,False,Basic,HealthTech,US,2.0,41.0,72.0,0.0,3.5,0.0
A-856b1e,False,Basic,FinTech,US,5.0,36.0,79.4,1.0,4.0,5.0
A-17939a,False,Basic,HealthTech,US,7.0,38.0,83.42857142857143,0.0,4.285714285714286,3.0
A-d27f50,False,Enterprise,Cybersecurity,UK,4.0,37.5,116.5,0.0,3.75,0.0
A-e36807,False,Pro,EdTech,AU,2.0,41.0,152.0,0.0,4.5,0.0
A-ff79f2,True,Basic,DevTools,US,2.0,50.0,82.5,0.0,4.0,2.0
A-5b1bcd,False,Pro,DevTools,US,4.0,43.25,92.5,0.0,4.25,2.0
A-71615e,False,Basic,EdTech,US,1.0,49.0,77.0,0.0,4.0,1.0
A-794a0b,False,Basic,HealthTech,DE,0.0,0.0,0.0,0.0,0.0,0.0
A-86902e,False,Enterprise,HealthTech,IN,9.0,40.888888888888886,71.44444444444444,0.0,3.7777777777777777,5.0
A-0532a9,False,Pro,FinTech,IN,8.0,30.75,73.375,0.0,3.875,7.0
A-9779ad,True,Pro,Cybersecurity,AU,3.0,20.666666666666668,116.33333333333333,0.0,4.333333333333333,2.0
A-f45426,False,Basic,HealthTech,US,3.0,17.0,69.0,0.0,4.0,2.0
A-c1e51e,False,Basic,FinTech,US,5.0,40.0,75.6,0.0,3.2,0.0
A-fa3095,False,Basic,FinTech,US,5.0,49.2,84.0,0.0,4.4,3.0
A-ad64c6,False,Pro,DevTools,UK,4.0,34.0,98.5,0.0,4.25,3.0
A-39b19f,False,Enterprise,FinTech,US,6.0,47.833333333333336,87.5,1.0,4.166666666666667,2.0
A-56962b,False,Enterprise,EdTech,UK,4.0,37.5,105.5,0.0,3.75,3.0
A-e60f9d,False,Basic,FinTech,US,2.0,70.5,106.5,0.0,4.0,2.0
A-88c6ca,True,Basic,FinTech,DE,1.0,56.0,12.0,0.0,4.0,1.0
A-158f4e,False,Enterprise,FinTech,IN,5.0,27.6,126.0,0.0,4.2,2.0
A-5b051a,False,Enterprise,Cybersecurity,US,1.0,2.0,2.0,0.0,3.0,0.0
A-296d7c,False,Enterprise,DevTools,DE,5.0,50.4,105.2,0.0,3.8,1.0
A-1619f8,False,Pro,DevTools,US,3.0,42.0,81.0,0.0,4.333333333333333,2.0
A-a1b80b,False,Basic,HealthTech,US,4.0,41.0,72.5,0.0,4.0,1.0
A-139c3b,True,Enterprise,HealthTech,US,9.0,28.444444444444443,66.11111111111111,0.0,4.222222222222222,5.0
A-702032,False,Pro,HealthTech,US,4.0,26.0,98.25,0.0,3.5,2.0
A-7a0d69,True,Enterprise,DevTools,DE,2.0,29.0,52.5,0.0,4.5,1.0
A-22d9d2,False,Pro,DevTools,FR,6.0,16.0,88.0,1.0,4.0,2.0
A-b9eed8,False,Basic,Cybersecurity,US,5.0,29.2,103.8,1.0,3.8,1.0
A-dfbd31,False,Enterprise,DevTools,UK,6.0,29.666666666666668,129.83333333333334,0.0,4.166666666666667,2.0
A-8e47ca,False,Pro,HealthTech,US,5.0,33.4,80.6,1.0,4.0,3.0
A-4437e4,False,Enterprise,Cybersecurity,US,6.0,34.666666666666664,125.33333333333333,2.0,3.6666666666666665,4.0
A-779e4e,False,Basic,HealthTech,US,5.0,26.6,91.6,0.0,4.0,1.0
A-53f4e3,False,Enterprise,Cybersecurity,UK,5.0,28.6,99.0,0.0,4.0,2.0
A-692f18,True,Basic,EdTech,US,2.0,37.5,120.0,0.0,4.5,1.0
A-13466a,True,Basic,DevTools,AU,3.0,32.333333333333336,94.33333333333333,1.0,4.333333333333333,0.0
A-1986ca,False,Pro,HealthTech,IN,7.0,36.57142857142857,106.57142857142857,0.0,3.5714285714285716,2.0
A-0cc442,False,Basic,EdTech,US,3.0,37.0,47.333333333333336,0.0,3.6666666666666665,2.0
A-c608c8,True,Pro,DevTools,DE,2.0,59.0,66.0,0.0,3.5,1.0
A-3be56b,True,Pro,HealthTech,IN,4.0,40.25,74.0,0.0,3.5,0.0
A-354f12,False,Pro,FinTech,US,2.0,56.5,137.5,0.0,4.0,2.0
A-68f37c,False,Basic,HealthTech,US,5.0,20.2,119.8,0.0,4.0,4.0
A-aa9511,False,Pro,DevTools,US,2.0,56.5,98.5,0.0,4.0,1.0
A-af0cd2,False,Enterprise,Cybersecurity,IN,3.0,54.333333333333336,149.33333333333334,0.0,4.0,3.0
A-bd4513,False,Enterprise,DevTools,AU,3.0,42.0,58.666666666666664,0.0,4.666666666666667,0.0
A-c222ab,True,Pro,Cybersecurity,US,4.0,39.0,94.5,0.0,4.25,3.0
A-34d880,False,Enterprise,Cybersecurity,AU,5.0,52.2,90.8,0.0,3.0,0.0
A-508199,False,Basic,FinTech,AU,3.0,50.666666666666664,67.33333333333333,0.0,3.6666666666666665,2.0
A-f03140,False,Pro,DevTools,IN,7.0,36.0,113.14285714285714,0.0,3.857142857142857,4.0
A-410e86,False,Basic,FinTech,US,5.0,42.6,110.0,0.0,3.8,3.0
A-fa2041,False,Pro,HealthTech,US,1.0,16.0,99.0,0.0,3.0,0.0
A-de58ca,False,Enterprise,HealthTech,DE,5.0,30.6,115.0,0.0,3.6,2.0
A-05d3b3,False,Basic,DevTools,AU,6.0,31.5,48.333333333333336,0.0,4.166666666666667,3.0
A-249769,True,Enterprise,Cybersecurity,US,2.0,39.5,96.5,0.0,4.0,0.0
A-e43bf7,False,Pro,Cybersecurity,AU,5.0,27.4,80.0,1.0,4.0,2.0
A-eb2fdc,True,Enterprise,DevTools,AU,5.0,33.6,37.6,0.0,4.4,1.0
A-e1462e,False,Basic,FinTech,UK,2.0,39.5,118.5,0.0,3.5,0.0
A-cab532,False,Pro,DevTools,FR,1.0,32.0,175.0,0.0,4.0,0.0
A-9123ac,False,Pro,Cybersecurity,DE,6.0,38.833333333333336,91.66666666666667,0.0,4.166666666666667,1.0
A-6e08f3,False,Basic,Cybersecurity,US,2.0,36.5,137.0,0.0,3.5,0.0
A-d922bf,True,Basic,HealthTech,US,7.0,39.142857142857146,101.14285714285714,1.0,3.7142857142857144,4.0
A-8ed5dd,True,Enterprise,EdTech,UK,6.0,29.0,96.83333333333333,0.0,3.8333333333333335,2.0
A-7c6b6b,False,Basic,FinTech,US,5.0,52.2,82.4,0.0,4.2,2.0
A-3c1a3f,False,Pro,DevTools,UK,4.0,33.25,56.5,0.0,3.75,2.0
A-b48f73,False,Pro,EdTech,AU,3.0,28.666666666666668,35.333333333333336,0.0,4.0,1.0
A-76fa4d,False,Pro,HealthTech,US,5.0,33.4,111.8,0.0,4.4,1.0
A-b2af2e,False,Enterprise,Cybersecurity,UK,2.0,39.5,95.0,0.0,4.0,0.0
A-9bfc9f,False,Pro,DevTools,CA,6.0,35.333333333333336,84.33333333333333,1.0,3.6666666666666665,3.0
A-4ae22a,True,Pro,EdTech,US,3.0,14.333333333333334,72.66666666666667,0.0,3.6666666666666665,2.0
A-fda07f,False,Basic,Cybersecurity,FR,5.0,17.8,57.0,0.0,4.0,2.0
A-de24d5,False,Enterprise,DevTools,US,7.0,43.142857142857146,103.42857142857143,0.0,3.7142857142857144,5.0
A-977ca0,True,Basic,HealthTech,IN,3.0,64.0,123.0,0.0,4.0,2.0
A-ab438f,True,Enterprise,Cybersecurity,US,2.0,33.5,112.5,0.0,3.5,0.0
A-e89151,True,Pro,FinTech,UK,2.0,41.5,48.5,0.0,4.5,1.0
A-40906c,False,Basic,EdTech,US,5.0,29.2,95.0,0.0,3.8,1.0
A-81edc3,False,Basic,Cybersecurity,IN,3.0,52.666666666666664,70.0,0.0,4.0,1.0
A-328bd0,False,Enterprise,HealthTech,AU,5.0,46.0,68.2,0.0,3.8,2.0
A-b3fe05,False,Pro,Cybersecurity,CA,4.0,48.25,94.25,0.0,3.5,2.0
A-09540c,False,Basic,Cybersecurity,CA,2.0,28.0,89.0,0.0,4.5,0.0
A-e693b6,True,Enterprise,FinTech,AU,1.0,1.0,144.0,0.0,3.0,0.0
A-2446e3,False,Pro,EdTech,IN,3.0,28.666666666666668,104.66666666666667,0.0,4.0,0.0
A-241e75,False,Enterprise,EdTech,US,4.0,31.5,101.0,0.0,4.25,2.0
A-922109,False,Pro,Cybersecurity,US,3.0,25.333333333333332,127.0,0.0,3.6666666666666665,2.0
A-ff3c73,False,Pro,HealthTech,AU,2.0,35.5,97.5,0.0,3.5,0.0
A-8b0451,False,Enterprise,FinTech,UK,7.0,26.571428571428573,83.71428571428571,0.0,3.7142857142857144,3.0
A-331424,False,Basic,DevTools,US,2.0,24.5,98.5,0.0,4.0,2.0
A-51ec1b,False,Enterprise,DevTools,US,3.0,52.333333333333336,150.0,1.0,4.666666666666667,1.0
A-bcf664,False,Pro,DevTools,US,5.0,36.0,110.6,1.0,4.0,2.0
A-90a8c8,False,Pro,FinTech,AU,4.0,45.0,29.5,0.0,3.25,0.0
A-86cdb4,False,Basic,DevTools,DE,5.0,26.4,105.8,0.0,4.2,2.0
A-4bfa33,False,Basic,Cybersecurity,US,4.0,16.5,84.75,0.0,3.75,1.0
A-dbc825,False,Enterprise,EdTech,FR,6.0,49.5,108.16666666666667,1.0,4.0,4.0
A-c70870,False,Basic,Cybersecurity,US,5.0,35.6,105.8,0.0,4.0,2.0
A-7c4956,True,Enterprise,DevTools,US,3.0,13.666666666666666,66.66666666666667,0.0,4.0,2.0
A-0651a4,False,Pro,HealthTech,FR,4.0,29.25,48.5,0.0,4.0,2.0
A-3ce5b8,True,Basic,FinTech,IN,10.0,42.5,101.8,0.0,3.8,3.0
A-bd4708,False,Pro,FinTech,US,4.0,24.0,90.75,0.0,3.75,2.0
A-993085,False,Basic,HealthTech,US,4.0,46.5,82.0,0.0,3.75,2.0
A-92a3af,False,Enterprise,Cybersecurity,IN,4.0,57.5,39.0,1.0,4.0,2.0
A-151c9a,False,Enterprise,FinTech,US,2.0,31.0,156.5,0.0,3.5,0.0
A-474ad4,False,Basic,EdTech,US,3.0,33.0,50.666666666666664,1.0,4.333333333333333,2.0
A-4ef964,False,Pro,HealthTech,US,3.0,42.666666666666664,86.33333333333333,0.0,4.0,1.0
A-fd9422,False,Pro,Cybersecurity,US,6.0,44.333333333333336,116.83333333333333,1.0,3.5,0.0
A-0baac2,True,Enterprise,FinTech,DE,6.0,43.5,89.0,0.0,4.166666666666667,3.0
A-bb1486,False,Basic,HealthTech,US,3.0,11.0,78.0,0.0,3.6666666666666665,2.0
A-560d27,False,Pro,DevTools,US,4.0,30.75,59.75,0.0,3.75,1.0
A-0b0d6d,False,Pro,DevTools,US,5.0,31.4,90.4,1.0,4.0,3.0
A-2789e3,False,Enterprise,FinTech,US,4.0,47.25,83.25,0.0,4.0,1.0
A-b07346,True,Pro,HealthTech,US,3.0,42.333333333333336,76.66666666666667,0.0,3.6666666666666665,1.0
A-902ef7,True,Enterprise,HealthTech,US,2.0,48.5,85.0,0.0,4.0,1.0
A-20736a,False,Enterprise,EdTech,IN,4.0,42.25,78.25,0.0,3.75,0.0
A-e4bf56,True,Pro,HealthTech,IN,8.0,29.125,111.5,0.0,3.75,2.0
A-cea1f0,True,Pro,FinTech,US,5.0,42.2,107.4,0.0,4.2,2.0
A-ef84cf,False,Enterprise,EdTech,US,5.0,34.8,79.4,1.0,4.2,2.0
A-d49cc5,False,Basic,Cybersecurity,FR,4.0,32.0,55.25,0.0,4.25,2.0
A-67be94,False,Enterprise,EdTech,US,5.0,38.6,51.0,0.0,4.0,3.0
A-4e960a,True,Enterprise,FinTech,US,6.0,29.166666666666668,83.16666666666667,0.0,4.0,3.0
A-c37cab,False,Pro,Cybersecurity,UK,4.0,33.0,101.25,1.0,3.75,0.0
A-533452,False,Pro,DevTools,AU,4.0,32.75,35.5,0.0,4.0,2.0
