subscription_id,account_id,cohort_month,active_month,mrr_amount,arr_amount,plan_tier,subscription_status,cohort_index
S-cff5a2,A-ba6516,2024-01-01,2024-08-01,5373,64476,Enterprise,Active,7
S-cff5a2,A-ba6516,2024-01-01,2024-09-01,5373,64476,Enterprise,Active,8
S-cff5a2,A-ba6516,2024-01-01,2024-10-01,5373,64476,Enterprise,Active,9
S-cff5a2,A-ba6516,2024-01-01,2024-11-01,5373,64476,Enterprise,Active,10
S-cff5a2,A-ba6516,2024-01-01,2024-12-01,5373,64476,Enterprise,Active,11
S-4b9b13,A-fa2041,2024-08-01,2024-08-01,735,8820,Pro,Active,0
S-4b9b13,A-fa2041,2024-08-01,2024-09-01,735,8820,Pro,Active,1
S-4b9b13,A-fa2041,2024-08-01,2024-10-01,735,8820,Pro,Active,2
S-4b9b13,A-fa2041,2024-08-01,2024-11-01,735,8820,Pro,Active,3
S-4b9b13,A-fa2041,2024-08-01,2024-12-01,735,8820,Pro,Active,4
S-dceac6,A-417d2f,2023-12-01,2023-12-01,796,9552,Enterprise,Active,0
S-dceac6,A-417d2f,2023-12-01,2024-01-01,796,9552,Enterprise,Active,1
S-dceac6,A-417d2f,2023-12-01,2024-02-01,796,9552,Enterprise,Active,2
S-dceac6,A-417d2f,2023-12-01,2024-03-01,796,9552,Enterprise,Active,3
S-dceac6,A-417d2f,2023-12-01,2024-04-01,796,9552,Enterprise,Active,4
S-dceac6,A-417d2f,2023-12-01,2024-05-01,796,9552,Enterprise,Active,5
S-dceac6,A-417d2f,2023-12-01,2024-06-01,796,9552,Enterprise,Active,6
S-dceac6,A-417d2f,2023-12-01,2024-07-01,796,9552,Enterprise,Active,7
S-dceac6,A-417d2f,2023-12-01,2024-08-01,796,9552,Enterprise,Active,8
S-dceac6,A-417d2f,2023-12-01,2024-09-01,796,9552,Enterprise,Active,9
S-dceac6,A-417d2f,2023-12-01,2024-10-01,796,9552,Enterprise,Active,10
S-dceac6,A-417d2f,2023-12-01,2024-11-01,796,9552,Enterprise,Active,11
S-dceac6,A-417d2f,2023-12-01,2024-12-01,796,9552,Enterprise,Active,12
S-8cad7b,A-5f2961,2024-12-01,2024-12-01,304,3648,Basic,Active,0
S-24796e,A-cc8c8f,2024-11-01,2024-11-01,4577,54924,Enterprise,Active,0
S-24796e,A-cc8c8f,2024-11-01,2024-12-01,4577,54924,Enterprise,Active,1
S-d0c344,A-80eeb6,2024-10-01,2024-10-01,1078,12936,Pro,Active,0
S-d0c344,A-80eeb6,2024-10-01,2024-11-01,1078,12936,Pro,Active,1
S-d0c344,A-80eeb6,2024-10-01,2024-12-01,1078,12936,Pro,Active,2
S-477506,A-f03140,2024-02-01,2024-02-01,1323,15876,Pro,Active,0
S-477506,A-f03140,2024-02-01,2024-03-01,1323,15876,Pro,Active,1
S-477506,A-f03140,2024-02-01,2024-04-01,1323,15876,Pro,Active,2
S-477506,A-f03140,2024-02-01,2024-05-01,1323,15876,Pro,Active,3
S-477506,A-f03140,2024-02-01,2024-06-01,1323,15876,Pro,Active,4
S-477506,A-f03140,2024-02-01,2024-07-01,1323,15876,Pro,Active,5
S-477506,A-f03140,2024-02-01,2024-08-01,1323,15876,Pro,Active,6
S-477506,A-f03140,2024-02-01,2024-09-01,1323,15876,Pro,Active,7
S-477506,A-f03140,2024-02-01,2024-10-01,1323,15876,Pro,Active,8
S-477506,A-f03140,2024-02-01,2024-11-01,1323,15876,Pro,Active,9
S-477506,A-f03140,2024-02-01,2024-12-01,1323,15876,Pro,Active,10
S-79a9e1,A-3a5ad8,2024-12-01,2024-12-01,0,0,Enterprise,Active,0
S-59dc4b,A-f17767,2023-09-01,2023-09-01,1274,15288,Pro,Active,0
S-59dc4b,A-f17767,2023-09-01,2023-10-01,1274,15288,Pro,Active,1
S-59dc4b,A-f17767,2023-09-01,2023-11-01,1274,15288,Pro,Active,2
S-59dc4b,A-f17767,2023-09-01,2023-12-01,1274,15288,Pro,Active,3
S-59dc4b,A-f17767,2023-09-01,2024-01-01,1274,15288,Pro,Active,4
S-59dc4b,A-f17767,2023-09-01,2024-02-01,1274,15288,Pro,Active,5
S-59dc4b,A-f17767,2023-09-01,2024-03-01,1274,15288,Pro,Active,6
S-59dc4b,A-f17767,2023-09-01,2024-04-01,1274,15288,Pro,Active,7
S-59dc4b,A-f17767,2023-09-01,2024-05-01,1274,15288,Pro,Active,8
S-59dc4b,A-f17767,2023-09-01,2024-06-01,1274,15288,Pro,Active,9
S-59dc4b,A-f17767,2023-09-01,2024-07-01,1274,15288,Pro,Active,10
S-59dc4b,A-f17767,2023-09-01,2024-08-01,1274,15288,Pro,Active,11
S-59dc4b,A-f17767,2023-09-01,2024-09-01,1274,15288,Pro,Active,12
S-59dc4b,A-f17767,2023-09-01,2024-10-01,1274,15288,Pro,Active,13
S-59dc4b,A-f17767,2023-09-01,2024-11-01,1274,15288,Pro,Active,14
S-59dc4b,A-f17767,2023-09-01,2024-12-01,1274,15288,Pro,Active,15
S-7acd8b,A-7920cc,2024-07-01,2024-07-01,741,8892,Basic,Active,0
S-7acd8b,A-7920cc,2024-07-01,2024-08-01,741,8892,Basic,Active,1
S-7acd8b,A-7920cc,2024-07-01,2024-09-01,741,8892,Basic,Active,2
S-7acd8b,A-7920cc,2024-07-01,2024-10-01,741,8892,Basic,Active,3
S-7acd8b,A-7920cc,2024-07-01,2024-11-01,741,8892,Basic,Active,4
S-7acd8b,A-7920cc,2024-07-01,2024-12-01,741,8892,Basic,Active,5
S-428e9a,A-8ae3fc,2024-10-01,2024-10-01,0,0,Enterprise,Active,0
S-428e9a,A-8ae3fc,2024-10-01,2024-11-01,0,0,Enterprise,Active,1
S-428e9a,A-8ae3fc,2024-10-01,2024-12-01,0,0,Enterprise,Active,2
S-486088,A-0cc442,2024-09-01,2024-09-01,2205,26460,Pro,Active,0
S-486088,A-0cc442,2024-09-01,2024-10-01,2205,26460,Pro,Active,1
S-486088,A-0cc442,2024-09-01,2024-11-01,2205,26460,Pro,Active,2
S-486088,A-0cc442,2024-09-01,2024-12-01,2205,26460,Pro,Active,3
S-13939b,A-86902e,2023-07-01,2023-07-01,0,0,Pro,Ended,0
S-13939b,A-86902e,2023-07-01,2023-08-01,0,0,Pro,Ended,1
S-13939b,A-86902e,2023-07-01,2023-09-01,0,0,Pro,Ended,2
S-13939b,A-86902e,2023-07-01,2023-10-01,0,0,Pro,Ended,3
S-13939b,A-86902e,2023-07-01,2023-11-01,0,0,Pro,Ended,4
S-13939b,A-86902e,2023-07-01,2023-12-01,0,0,Pro,Ended,5
S-13939b,A-86902e,2023-07-01,2024-01-01,0,0,Pro,Ended,6
S-13939b,A-86902e,2023-07-01,2024-02-01,0,0,Pro,Ended,7
S-13939b,A-86902e,2023-07-01,2024-03-01,0,0,Pro,Ended,8
S-13939b,A-86902e,2023-07-01,2024-04-01,0,0,Pro,Ended,9
S-13939b,A-86902e,2023-07-01,2024-05-01,0,0,Pro,Ended,10
S-13939b,A-86902e,2023-07-01,2024-06-01,0,0,Pro,Ended,11
S-13939b,A-86902e,2023-07-01,2024-07-01,0,0,Pro,Ended,12
S-13939b,A-86902e,2023-07-01,2024-08-01,0,0,Pro,Ended,13
S-9333c5,A-ef84cf,2024-06-01,2024-06-01,152,1824,Basic,Ended,0
S-9333c5,A-ef84cf,2024-06-01,2024-07-01,152,1824,Basic,Ended,1
S-9333c5,A-ef84cf,2024-06-01,2024-08-01,152,1824,Basic,Ended,2
S-37e3ad,A-b30291,2024-04-01,2024-04-01,95,1140,Basic,Active,0
S-37e3ad,A-b30291,2024-04-01,2024-05-01,95,1140,Basic,Active,1
S-37e3ad,A-b30291,2024-04-01,2024-06-01,95,1140,Basic,Active,2
S-37e3ad,A-b30291,2024-04-01,2024-07-01,95,1140,Basic,Active,3
S-37e3ad,A-b30291,2024-04-01,2024-08-01,95,1140,Basic,Active,4
S-37e3ad,A-b30291,2024-04-01,2024-09-01,95,1140,Basic,Active,5
S-37e3ad,A-b30291,2024-04-01,2024-10-01,95,1140,Basic,Active,6
S-37e3ad,A-b30291,2024-04-01,2024-11-01,95,1140,Basic,Active,7
S-37e3ad,A-b30291,2024-04-01,2024-12-01,95,1140,Basic,Active,8
S-b17d04,A-e19ff6,2024-03-01,2024-03-01,392,4704,Pro,Active,0
S-b17d04,A-e19ff6,2024-03-01,2024-04-01,392,4704,Pro,Active,1
S-b17d04,A-e19ff6,2024-03-01,2024-05-01,392,4704,Pro,Active,2
S-b17d04,A-e19ff6,2024-03-01,2024-06-01,392,4704,Pro,Active,3
S-b17d04,A-e19ff6,2024-03-01,2024-07-01,392,4704,Pro,Active,4
S-b17d04,A-e19ff6,2024-03-01,2024-08-01,392,4704,Pro,Active,5
S-b17d04,A-e19ff6,2024-03-01,2024-09-01,392,4704,Pro,Active,6
S-b17d04,A-e19ff6,2024-03-01,2024-10-01,392,4704,Pro,Active,7
S-b17d04,A-e19ff6,2024-03-01,2024-11-01,392,4704,Pro,Active,8
S-b17d04,A-e19ff6,2024-03-01,2024-12-01,392,4704,Pro,Active,9
S-c27134,A-dec005,2024-03-01,2024-03-01,0,0,Pro,Active,0
S-c27134,A-dec005,2024-03-01,2024-04-01,0,0,Pro,Active,1
S-c27134,A-dec005,2024-03-01,2024-05-01,0,0,Pro,Active,2
S-c27134,A-dec005,2024-03-01,2024-06-01,0,0,Pro,Active,3
S-c27134,A-dec005,2024-03-01,2024-07-01,0,0,Pro,Active,4
S-c27134,A-dec005,2024-03-01,2024-08-01,0,0,Pro,Active,5
S-c27134,A-dec005,2024-03-01,2024-09-01,0,0,Pro,Active,6
S-c27134,A-dec005,2024-03-01,2024-10-01,0,0,Pro,Active,7
S-c27134,A-dec005,2024-03-01,2024-11-01,0,0,Pro,Active,8
S-c27134,A-dec005,2024-03-01,2024-12-01,0,0,Pro,Active,9
S-3bd427,A-2e3bad,2024-12-01,2024-12-01,1159,13908,Basic,Ended,0
S-82989b,A-f5641b,2024-11-01,2024-11-01,589,7068,Basic,Active,0
S-82989b,A-f5641b,2024-11-01,2024-12-01,589,7068,Basic,Active,1
S-082b15,A-aa9511,2024-02-01,2024-02-01,19303,231636,Enterprise,Active,0
S-082b15,A-aa9511,2024-02-01,2024-03-01,19303,231636,Enterprise,Active,1
S-082b15,A-aa9511,2024-02-01,2024-04-01,19303,231636,Enterprise,Active,2
S-082b15,A-aa9511,2024-02-01,2024-05-01,19303,231636,Enterprise,Active,3
S-082b15,A-aa9511,2024-02-01,2024-06-01,19303,231636,Enterprise,Active,4
S-082b15,A-aa9511,2024-02-01,2024-07-01,19303,231636,Enterprise,Active,5
S-082b15,A-aa9511,2024-02-01,2024-08-01,19303,231636,Enterprise,Active,6
S-082b15,A-aa9511,2024-02-01,2024-09-01,19303,231636,Enterprise,Active,7
S-082b15,A-aa9511,2024-02-01,2024-10-01,19303,231636,Enterprise,Active,8
S-082b15,A-aa9511,2024-02-01,2024-11-01,19303,231636,Enterprise,Active,9
S-082b15,A-aa9511,2024-02-01,2024-12-01,19303,231636,Enterprise,Active,10
S-434140,A-075038,2024-02-01,2024-02-01,833,9996,Pro,Active,0
S-434140,A-075038,2024-02-01,2024-03-01,833,9996,Pro,Active,1
S-434140,A-075038,2024-02-01,2024-04-01,833,9996,Pro,Active,2
S-434140,A-075038,2024-02-01,2024-05-01,833,9996,Pro,Active,3
S-434140,A-075038,2024-02-01,2024-06-01,833,9996,Pro,Active,4
S-434140,A-075038,2024-02-01,2024-07-01,833,9996,Pro,Active,5
S-434140,A-075038,2024-02-01,2024-08-01,833,9996,Pro,Active,6
S-434140,A-075038,2024-02-01,2024-09-01,833,9996,Pro,Active,7
S-434140,A-075038,2024-02-01,2024-10-01,833,9996,Pro,Active,8
S-434140,A-075038,2024-02-01,2024-11-01,833,9996,Pro,Active,9
S-434140,A-075038,2024-02-01,2024-12-01,833,9996,Pro,Active,10
S-c07ede,A-cea1f0,2024-10-01,2024-10-01,392,4704,Pro,Active,0
S-c07ede,A-cea1f0,2024-10-01,2024-11-01,392,4704,Pro,Active,1
S-c07ede,A-cea1f0,2024-10-01,2024-12-01,392,4704,Pro,Active,2
S-287914,A-a1b80b,2024-08-01,2024-08-01,784,9408,Pro,Active,0
S-287914,A-a1b80b,2024-08-01,2024-09-01,784,9408,Pro,Active,1
S-287914,A-a1b80b,2024-08-01,2024-10-01,784,9408,Pro,Active,2
S-287914,A-a1b80b,2024-08-01,2024-11-01,784,9408,Pro,Active,3
S-287914,A-a1b80b,2024-08-01,2024-12-01,784,9408,Pro,Active,4
S-b3bd43,A-b2225d,2024-11-01,2024-11-01,2450,29400,Pro,Active,0
S-b3bd43,A-b2225d,2024-11-01,2024-12-01,2450,29400,Pro,Active,1
S-4c82da,A-b9eed8,2024-08-01,2024-08-01,539,6468,Pro,Active,0
S-4c82da,A-b9eed8,2024-08-01,2024-09-01,539,6468,Pro,Active,1
S-4c82da,A-b9eed8,2024-08-01,2024-10-01,539,6468,Pro,Active,2
S-4c82da,A-b9eed8,2024-08-01,2024-11-01,539,6468,Pro,Active,3
S-4c82da,A-b9eed8,2024-08-01,2024-12-01,539,6468,Pro,Active,4
S-c75159,A-bcf87c,2024-08-01,2024-08-01,6169,74028,Enterprise,Ended,0
S-c75159,A-bcf87c,2024-08-01,2024-09-01,6169,74028,Enterprise,Ended,1
S-b5643b,A-9f9299,2024-06-01,2024-06-01,5572,66864,Enterprise,Active,0
S-b5643b,A-9f9299,2024-06-01,2024-07-01,5572,66864,Enterprise,Active,1
S-b5643b,A-9f9299,2024-06-01,2024-08-01,5572,66864,Enterprise,Active,2
S-b5643b,A-9f9299,2024-06-01,2024-09-01,5572,66864,Enterprise,Active,3
S-b5643b,A-9f9299,2024-06-01,2024-10-01,5572,66864,Enterprise,Active,4
S-b5643b,A-9f9299,2024-06-01,2024-11-01,5572,66864,Enterprise,Active,5
S-b5643b,A-9f9299,2024-06-01,2024-12-01,5572,66864,Enterprise,Active,6
S-49a9aa,A-10b8f2,2023-06-01,2023-06-01,969,11628,Basic,Active,0
S-49a9aa,A-10b8f2,2023-06-01,2023-07-01,969,11628,Basic,Active,1
S-49a9aa,A-10b8f2,2023-06-01,2023-08-01,969,11628,Basic,Active,2
S-49a9aa,A-10b8f2,2023-06-01,2023-09-01,969,11628,Basic,Active,3
S-49a9aa,A-10b8f2,2023-06-01,2023-10-01,969,11628,Basic,Active,4
S-49a9aa,A-10b8f2,2023-06-01,2023-11-01,969,11628,Basic,Active,5
S-49a9aa,A-10b8f2,2023-06-01,2023-12-01,969,11628,Basic,Active,6
S-49a9aa,A-10b8f2,2023-06-01,2024-01-01,969,11628,Basic,Active,7
S-49a9aa,A-10b8f2,2023-06-01,2024-02-01,969,11628,Basic,Active,8
S-49a9aa,A-10b8f2,2023-06-01,2024-03-01,969,11628,Basic,Active,9
S-49a9aa,A-10b8f2,2023-06-01,2024-04-01,969,11628,Basic,Active,10
S-49a9aa,A-10b8f2,2023-06-01,2024-05-01,969,11628,Basic,Active,11
S-49a9aa,A-10b8f2,2023-06-01,2024-06-01,969,11628,Basic,Active,12
S-49a9aa,A-10b8f2,2023-06-01,2024-07-01,969,11628,Basic,Active,13
S-49a9aa,A-10b8f2,2023-06-01,2024-08-01,969,11628,Basic,Active,14
S-49a9aa,A-10b8f2,2023-06-01,2024-09-01,969,11628,Basic,Active,15
S-49a9aa,A-10b8f2,2023-06-01,2024-10-01,969,11628,Basic,Active,16
S-49a9aa,A-10b8f2,2023-06-01,2024-11-01,969,11628,Basic,Active,17
S-49a9aa,A-10b8f2,2023-06-01,2024-12-01,969,11628,Basic,Active,18
S-2877e6,A-95b24a,2024-06-01,2024-06-01,0,0,Enterprise,Active,0
S-2877e6,A-95b24a,2024-06-01,2024-07-01,0,0,Enterprise,Active,1
S-2877e6,A-95b24a,2024-06-01,2024-08-01,0,0,Enterprise,Active,2
S-2877e6,A-95b24a,2024-06-01,2024-09-01,0,0,Enterprise,Active,3
S-2877e6,A-95b24a,2024-06-01,2024-10-01,0,0,Enterprise,Active,4
S-2877e6,A-95b24a,2024-06-01,2024-11-01,0,0,Enterprise,Active,5
S-2877e6,A-95b24a,2024-06-01,2024-12-01,0,0,Enterprise,Active,6
S-8c10c1,A-0651a4,2024-12-01,2024-12-01,12935,155220,Enterprise,Active,0
S-d7d398,A-fb186e,2024-12-01,2024-12-01,0,0,Enterprise,Active,0
S-ddad91,A-40906c,2024-06-01,2024-06-01,0,0,Enterprise,Active,0
S-ddad91,A-40906c,2024-06-01,2024-07-01,0,0,Enterprise,Active,1
S-ddad91,A-40906c,2024-06-01,2024-08-01,0,0,Enterprise,Active,2
S-ddad91,A-40906c,2024-06-01,2024-09-01,0,0,Enterprise,Active,3
S-ddad91,A-40906c,2024-06-01,2024-10-01,0,0,Enterprise,Active,4
S-ddad91,A-40906c,2024-06-01,2024-11-01,0,0,Enterprise,Active,5
S-ddad91,A-40906c,2024-06-01,2024-12-01,0,0,Enterprise,Active,6
S-6762fa,A-40a557,2024-02-01,2024-02-01,3184,38208,Enterprise,Active,0
S-6762fa,A-40a557,2024-02-01,2024-03-01,3184,38208,Enterprise,Active,1
S-6762fa,A-40a557,2024-02-01,2024-04-01,3184,38208,Enterprise,Active,2
S-6762fa,A-40a557,2024-02-01,2024-05-01,3184,38208,Enterprise,Active,3
S-6762fa,A-40a557,2024-02-01,2024-06-01,3184,38208,Enterprise,Active,4
S-6762fa,A-40a557,2024-02-01,2024-07-01,3184,38208,Enterprise,Active,5
S-6762fa,A-40a557,2024-02-01,2024-08-01,3184,38208,Enterprise,Active,6
S-6762fa,A-40a557,2024-02-01,2024-09-01,3184,38208,Enterprise,Active,7
S-6762fa,A-40a557,2024-02-01,2024-10-01,3184,38208,Enterprise,Active,8
S-6762fa,A-40a557,2024-02-01,2024-11-01,3184,38208,Enterprise,Active,9
S-6762fa,A-40a557,2024-02-01,2024-12-01,3184,38208,Enterprise,Active,10
S-bb1cf1,A-3a5ad8,2024-09-01,2024-09-01,0,0,Enterprise,Active,0
S-bb1cf1,A-3a5ad8,2024-09-01,2024-10-01,0,0,Enterprise,Active,1
S-bb1cf1,A-3a5ad8,2024-09-01,2024-11-01,0,0,Enterprise,Active,2
S-bb1cf1,A-3a5ad8,2024-09-01,2024-12-01,0,0,Enterprise,Active,3
S-a805a5,A-2789e3,2024-09-01,2024-09-01,627,7524,Basic,Active,0
S-a805a5,A-2789e3,2024-09-01,2024-10-01,627,7524,Basic,Active,1
S-a805a5,A-2789e3,2024-09-01,2024-11-01,627,7524,Basic,Active,2
S-a805a5,A-2789e3,2024-09-01,2024-12-01,627,7524,Basic,Active,3
S-da0a69,A-49b828,2023-05-01,2023-05-01,294,3528,Pro,Active,0
S-da0a69,A-49b828,2023-05-01,2023-06-01,294,3528,Pro,Active,1
S-da0a69,A-49b828,2023-05-01,2023-07-01,294,3528,Pro,Active,2
S-da0a69,A-49b828,2023-05-01,2023-08-01,294,3528,Pro,Active,3
S-da0a69,A-49b828,2023-05-01,2023-09-01,294,3528,Pro,Active,4
S-da0a69,A-49b828,2023-05-01,2023-10-01,294,3528,Pro,Active,5
S-da0a69,A-49b828,2023-05-01,2023-11-01,294,3528,Pro,Active,6
S-da0a69,A-49b828,2023-05-01,2023-12-01,294,3528,Pro,Active,7
S-da0a69,A-49b828,2023-05-01,2024-01-01,294,3528,Pro,Active,8
S-da0a69,A-49b828,2023-05-01,2024-02-01,294,3528,Pro,Active,9
S-da0a69,A-49b828,2023-05-01,2024-03-01,294,3528,Pro,Active,10
S-da0a69,A-49b828,2023-05-01,2024-04-01,294,3528,Pro,Active,11
S-da0a69,A-49b828,2023-05-01,2024-05-01,294,3528,Pro,Active,12
S-da0a69,A-49b828,2023-05-01,2024-06-01,294,3528,Pro,Active,13
S-da0a69,A-49b828,2023-05-01,2024-07-01,294,3528,Pro,Active,14
S-da0a69,A-49b828,2023-05-01,2024-08-01,294,3528,Pro,Active,15
S-da0a69,A-49b828,2023-05-01,2024-09-01,294,3528,Pro,Active,16
S-da0a69,A-49b828,2023-05-01,2024-10-01,294,3528,Pro,Active,17
S-da0a69,A-49b828,2023-05-01,2024-11-01,294,3528,Pro,Active,18
S-da0a69,A-49b828,2023-05-01,2024-12-01,294,3528,Pro,Active,19
S-59c5d7,A-c16b88,2024-10-01,2024-10-01,665,7980,Basic,Active,0
S-59c5d7,A-c16b88,2024-10-01,2024-11-01,665,7980,Basic,Active,1
S-59c5d7,A-c16b88,2024-10-01,2024-12-01,665,7980,Basic,Active,2
S-d3faae,A-5c9849,2024-11-01,2024-11-01,361,4332,Basic,Active,0
S-d3faae,A-5c9849,2024-11-01,2024-12-01,361,4332,Basic,Active,1
S-73a4e4,A-993085,2024-09-01,2024-09-01,1519,18228,Pro,Active,0
S-73a4e4,A-993085,2024-09-01,2024-10-01,1519,18228,Pro,Active,1
S-73a4e4,A-993085,2024-09-01,2024-11-01,1519,18228,Pro,Active,2
S-73a4e4,A-993085,2024-09-01,2024-12-01,1519,18228,Pro,Active,3
S-35c8a3,A-e4144b,2024-12-01,2024-12-01,8159,97908,Enterprise,Active,0
S-99fbf7,A-7dacce,2024-09-01,2024-09-01,2388,28656,Enterprise,Active,0
S-99fbf7,A-7dacce,2024-09-01,2024-10-01,2388,28656,Enterprise,Active,1
S-99fbf7,A-7dacce,2024-09-01,2024-11-01,2388,28656,Enterprise,Active,2
S-99fbf7,A-7dacce,2024-09-01,2024-12-01,2388,28656,Enterprise,Active,3
S-e97b9f,A-a0ca4e,2024-03-01,2024-03-01,2388,28656,Enterprise,Active,0
S-e97b9f,A-a0ca4e,2024-03-01,2024-04-01,2388,28656,Enterprise,Active,1
S-e97b9f,A-a0ca4e,2024-03-01,2024-05-01,2388,28656,Enterprise,Active,2
S-e97b9f,A-a0ca4e,2024-03-01,2024-06-01,2388,28656,Enterprise,Active,3
S-e97b9f,A-a0ca4e,2024-03-01,2024-07-01,2388,28656,Enterprise,Active,4
S-e97b9f,A-a0ca4e,2024-03-01,2024-08-01,2388,28656,Enterprise,Active,5
S-e97b9f,A-a0ca4e,2024-03-01,2024-09-01,2388,28656,Enterprise,Active,6
S-e97b9f,A-a0ca4e,2024-03-01,2024-10-01,2388,28656,Enterprise,Active,7
S-e97b9f,A-a0ca4e,2024-03-01,2024-11-01,2388,28656,Enterprise,Active,8
S-e97b9f,A-a0ca4e,2024-03-01,2024-12-01,2388,28656,Enterprise,Active,9
S-763d33,A-ef84cf,2024-07-01,2024-07-01,437,5244,Basic,Active,0
S-763d33,A-ef84cf,2024-07-01,2024-08-01,437,5244,Basic,Active,1
S-763d33,A-ef84cf,2024-07-01,2024-09-01,437,5244,Basic,Active,2
S-763d33,A-ef84cf,2024-07-01,2024-10-01,437,5244,Basic,Active,3
S-763d33,A-ef84cf,2024-07-01,2024-11-01,437,5244,Basic,Active,4
S-763d33,A-ef84cf,2024-07-01,2024-12-01,437,5244,Basic,Active,5
S-323782,A-7920cc,2024-02-01,2024-02-01,741,8892,Basic,Active,0
S-323782,A-7920cc,2024-02-01,2024-03-01,741,8892,Basic,Active,1
S-323782,A-7920cc,2024-02-01,2024-04-01,741,8892,Basic,Active,2
S-323782,A-7920cc,2024-02-01,2024-05-01,741,8892,Basic,Active,3
S-323782,A-7920cc,2024-02-01,2024-06-01,741,8892,Basic,Active,4
S-323782,A-7920cc,2024-02-01,2024-07-01,741,8892,Basic,Active,5
S-323782,A-7920cc,2024-02-01,2024-08-01,741,8892,Basic,Active,6
S-323782,A-7920cc,2024-02-01,2024-09-01,741,8892,Basic,Active,7
S-323782,A-7920cc,2024-02-01,2024-10-01,741,8892,Basic,Active,8
S-323782,A-7920cc,2024-02-01,2024-11-01,741,8892,Basic,Active,9
S-323782,A-7920cc,2024-02-01,2024-12-01,741,8892,Basic,Active,10
S-1cff18,A-2789e3,2024-10-01,2024-10-01,209,2508,Basic,Active,0
S-1cff18,A-2789e3,2024-10-01,2024-11-01,209,2508,Basic,Active,1
S-1cff18,A-2789e3,2024-10-01,2024-12-01,209,2508,Basic,Active,2
S-ad39ef,A-e40f45,2024-08-01,2024-08-01,0,0,Pro,Active,0
S-ad39ef,A-e40f45,2024-08-01,2024-09-01,0,0,Pro,Active,1
S-ad39ef,A-e40f45,2024-08-01,2024-10-01,0,0,Pro,Active,2
S-ad39ef,A-e40f45,2024-08-01,2024-11-01,0,0,Pro,Active,3
S-ad39ef,A-e40f45,2024-08-01,2024-12-01,0,0,Pro,Active,4
S-bf806d,A-7c5768,2024-09-01,2024-09-01,1178,14136,Basic,Active,0
S-bf806d,A-7c5768,2024-09-01,2024-10-01,1178,14136,Basic,Active,1
S-bf806d,A-7c5768,2024-09-01,2024-11-01,1178,14136,Basic,Active,2
S-bf806d,A-7c5768,2024-09-01,2024-12-01,1178,14136,Basic,Active,3
S-36f6ec,A-ccb686,2024-08-01,2024-08-01,1029,12348,Pro,Active,0
S-36f6ec,A-ccb686,2024-08-01,2024-09-01,1029,12348,Pro,Active,1
S-36f6ec,A-ccb686,2024-08-01,2024-10-01,1029,12348,Pro,Active,2
S-36f6ec,A-ccb686,2024-08-01,2024-11-01,1029,12348,Pro,Active,3
S-36f6ec,A-ccb686,2024-08-01,2024-12-01,1029,12348,Pro,Active,4
S-aff55c,A-bb2f49,2024-01-01,2024-01-01,0,0,Pro,Ended,0
S-aff55c,A-bb2f49,2024-01-01,2024-02-01,0,0,Pro,Ended,1
S-aff55c,A-bb2f49,2024-01-01,2024-03-01,0,0,Pro,Ended,2
S-aff55c,A-bb2f49,2024-01-01,2024-04-01,0,0,Pro,Ended,3
