account_id,churn_flag,plan_tier,industry,country,activation_events_7d,activation_features_used_7d,activation_total_usage_7d,activation_total_duration_secs_7d,activation_total_errors_7d,beta_feature_used_7d
A-2922b6,False,Basic,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-9b9fe9,False,Basic,EdTech,AU,1.0,1.0,12.0,1500.0,0.0,False
A-a8b49c,False,Basic,Cybersecurity,UK,2.0,2.0,14.0,3568.0,1.0,False
A-9174e0,False,Basic,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-a1bbb6,False,Basic,DevTools,CA,0.0,0.0,0.0,0.0,0.0,0
A-c45b23,False,Basic,FinTech,UK,0.0,0.0,0.0,0.0,0.0,0
A-02cd81,False,Basic,HealthTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-ee42db,False,Enterprise,EdTech,DE,1.0,1.0,9.0,4851.0,0.0,False
A-432483,False,Pro,Cybersecurity,US,2.0,2.0,15.0,4465.0,2.0,False
A-9208f0,True,Pro,EdTech,US,1.0,1.0,8.0,2624.0,2.0,False
A-98a59a,False,Enterprise,FinTech,UK,0.0,0.0,0.0,0.0,0.0,0
A-fe79a5,False,Basic,HealthTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-726cfa,False,Pro,DevTools,US,1.0,1.0,8.0,2824.0,0.0,False
A-c43359,False,Pro,FinTech,US,1.0,1.0,9.0,612.0,1.0,True
A-271f46,True,Pro,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-157070,False,Pro,FinTech,US,2.0,2.0,20.0,6180.0,1.0,False
A-40a557,False,Pro,Cybersecurity,AU,1.0,1.0,15.0,7440.0,1.0,False
A-66224b,False,Pro,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-91e948,False,Basic,EdTech,AU,1.0,1.0,5.0,2095.0,1.0,False
A-104f1a,False,Pro,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-7988d1,False,Basic,Cybersecurity,US,1.0,1.0,15.0,2985.0,0.0,False
A-faa28c,False,Enterprise,HealthTech,US,1.0,1.0,13.0,4914.0,0.0,False
A-f25509,False,Enterprise,EdTech,US,0.0,0.0,0.0,0.0,0.0,0
A-3a7284,False,Enterprise,FinTech,US,1.0,1.0,5.0,2150.0,0.0,False
A-3a5ad8,False,Enterprise,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-65a46c,False,Pro,HealthTech,US,1.0,1.0,10.0,5570.0,1.0,False
A-8b25f2,True,Pro,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-fabe19,False,Enterprise,DevTools,UK,1.0,1.0,9.0,5004.0,0.0,False
A-adc1f3,False,Pro,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-503d5a,True,Enterprise,FinTech,US,2.0,2.0,20.0,7133.0,0.0,False
A-fd7ad3,False,Enterprise,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-186a44,False,Enterprise,HealthTech,US,1.0,1.0,6.0,2160.0,0.0,False
A-e888d1,False,Pro,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-69fad4,True,Basic,FinTech,UK,0.0,0.0,0.0,0.0,0.0,0
A-9289f6,False,Enterprise,EdTech,US,0.0,0.0,0.0,0.0,0.0,0
A-f19409,True,Basic,DevTools,US,2.0,2.0,18.0,9943.0,2.0,False
A-22f2df,False,Basic,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-039727,False,Pro,EdTech,AU,0.0,0.0,0.0,0.0,0.0,0
A-2e3bad,False,Pro,FinTech,CA,0.0,0.0,0.0,0.0,0.0,0
A-484819,False,Pro,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-425e76,True,Enterprise,DevTools,UK,0.0,0.0,0.0,0.0,0.0,0
A-e83938,True,Pro,DevTools,UK,0.0,0.0,0.0,0.0,0.0,0
A-ad296b,False,Pro,DevTools,AU,0.0,0.0,0.0,0.0,0.0,0
A-e51ec7,False,Enterprise,FinTech,CA,0.0,0.0,0.0,0.0,0.0,0
A-0aaf6e,False,Enterprise,FinTech,US,1.0,1.0,14.0,756.0,3.0,False
A-e61e98,True,Enterprise,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-92a333,False,Enterprise,FinTech,US,1.0,1.0,6.0,288.0,0.0,False
A-95b24a,True,Pro,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-42e5e1,True,Pro,DevTools,US,1.0,1.0,5.0,1985.0,0.0,False
A-7d514c,False,Enterprise,HealthTech,DE,1.0,1.0,7.0,1617.0,0.0,False
A-65aeb5,False,Pro,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-e2cd1b,False,Enterprise,DevTools,US,2.0,2.0,22.0,7554.0,0.0,False
A-180abf,True,Pro,DevTools,US,2.0,2.0,23.0,7317.0,0.0,False
A-f17767,True,Enterprise,DevTools,US,1.0,1.0,17.0,1156.0,0.0,False
A-5a184f,True,Enterprise,DevTools,DE,1.0,1.0,6.0,3198.0,0.0,False
A-7df7a7,True,Basic,DevTools,US,1.0,1.0,12.0,1872.0,0.0,False
A-1ac5e0,True,Basic,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-52dd88,False,Pro,Cybersecurity,US,2.0,2.0,18.0,7650.0,1.0,False
A-bece89,False,Pro,Cybersecurity,IN,0.0,0.0,0.0,0.0,0.0,0
A-029f69,False,Basic,Cybersecurity,CA,0.0,0.0,0.0,0.0,0.0,0
A-5c046d,False,Basic,EdTech,FR,0.0,0.0,0.0,0.0,0.0,0
A-fb186e,False,Basic,EdTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-ae052e,False,Basic,FinTech,CA,0.0,0.0,0.0,0.0,0.0,0
A-9f9299,False,Enterprise,FinTech,US,1.0,1.0,12.0,3156.0,1.0,False
A-96e141,False,Basic,DevTools,UK,1.0,1.0,7.0,1729.0,0.0,False
A-117171,True,Basic,HealthTech,FR,0.0,0.0,0.0,0.0,0.0,0
A-313be3,False,Enterprise,EdTech,US,1.0,1.0,10.0,3420.0,0.0,False
A-671f31,False,Basic,DevTools,US,1.0,1.0,7.0,2303.0,0.0,False
A-bbc346,False,Enterprise,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-c16101,False,Basic,EdTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-50f3f7,True,Basic,HealthTech,US,3.0,3.0,27.0,11443.0,2.0,False
A-7da956,False,Pro,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-019782,False,Enterprise,DevTools,FR,0.0,0.0,0.0,0.0,0.0,0
A-df10db,False,Enterprise,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-3932db,True,Pro,HealthTech,CA,0.0,0.0,0.0,0.0,0.0,0
A-4f18f0,False,Pro,DevTools,CA,1.0,1.0,14.0,5334.0,0.0,False
A-4c6f11,True,Pro,FinTech,CA,0.0,0.0,0.0,0.0,0.0,0
A-8ae05d,False,Enterprise,FinTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-b78bf8,False,Pro,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-eafc6e,True,Pro,DevTools,US,1.0,1.0,11.0,5918.0,0.0,False
A-37f969,False,Enterprise,HealthTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-10b8f2,False,Basic,HealthTech,DE,0.0,0.0,0.0,0.0,0.0,0
A-439b2f,True,Enterprise,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-544d0a,False,Basic,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-ba6516,False,Pro,FinTech,US,1.0,1.0,8.0,1760.0,0.0,False
A-712426,False,Enterprise,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-038089,True,Pro,DevTools,FR,0.0,0.0,0.0,0.0,0.0,0
A-afa505,False,Basic,DevTools,US,1.0,1.0,15.0,8535.0,0.0,False
A-d5a319,True,Enterprise,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-f97b9a,False,Pro,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-2f6a32,False,Basic,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-856b1e,False,Basic,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-17939a,False,Basic,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-d27f50,False,Enterprise,Cybersecurity,UK,2.0,2.0,10.0,3976.0,0.0,False
A-e36807,False,Pro,EdTech,AU,1.0,1.0,12.0,2256.0,0.0,False
A-ff79f2,True,Basic,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-5b1bcd,False,Pro,DevTools,US,1.0,1.0,6.0,1080.0,0.0,False
A-71615e,False,Basic,EdTech,US,1.0,1.0,11.0,440.0,0.0,False
A-794a0b,False,Basic,HealthTech,DE,0.0,0.0,0.0,0.0,0.0,0
A-86902e,False,Enterprise,HealthTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-0532a9,False,Pro,FinTech,IN,2.0,2.0,26.0,8184.0,0.0,False
A-9779ad,True,Pro,Cybersecurity,AU,1.0,1.0,10.0,4080.0,0.0,False
A-f45426,False,Basic,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-c1e51e,False,Basic,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-fa3095,False,Basic,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-ad64c6,False,Pro,DevTools,UK,1.0,1.0,14.0,4256.0,0.0,False
A-39b19f,False,Enterprise,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-56962b,False,Enterprise,EdTech,UK,1.0,1.0,11.0,6072.0,0.0,False
A-e60f9d,False,Basic,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-88c6ca,True,Basic,FinTech,DE,1.0,1.0,10.0,810.0,0.0,True
A-158f4e,False,Enterprise,FinTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-5b051a,False,Enterprise,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-296d7c,False,Enterprise,DevTools,DE,1.0,1.0,20.0,4020.0,0.0,True
A-1619f8,False,Pro,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-a1b80b,False,Basic,HealthTech,US,1.0,1.0,10.0,2650.0,0.0,False
A-139c3b,True,Enterprise,HealthTech,US,1.0,1.0,8.0,2808.0,0.0,False
A-702032,False,Pro,HealthTech,US,1.0,1.0,10.0,1470.0,1.0,False
A-7a0d69,True,Enterprise,DevTools,DE,1.0,1.0,15.0,675.0,0.0,False
A-22d9d2,False,Pro,DevTools,FR,2.0,2.0,20.0,5320.0,0.0,False
A-b9eed8,False,Basic,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-dfbd31,False,Enterprise,DevTools,UK,0.0,0.0,0.0,0.0,0.0,0
A-8e47ca,False,Pro,HealthTech,US,1.0,1.0,9.0,4707.0,0.0,False
A-4437e4,False,Enterprise,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-779e4e,False,Basic,HealthTech,US,2.0,2.0,17.0,6286.0,0.0,True
A-53f4e3,False,Enterprise,Cybersecurity,UK,1.0,1.0,13.0,4030.0,4.0,False
A-692f18,True,Basic,EdTech,US,2.0,2.0,19.0,10116.0,1.0,False
A-13466a,True,Basic,DevTools,AU,0.0,0.0,0.0,0.0,0.0,0
A-1986ca,False,Pro,HealthTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-0cc442,False,Basic,EdTech,US,2.0,2.0,15.0,4925.0,2.0,False
A-c608c8,True,Pro,DevTools,DE,0.0,0.0,0.0,0.0,0.0,0
A-3be56b,True,Pro,HealthTech,IN,1.0,1.0,9.0,2250.0,0.0,False
A-354f12,False,Pro,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-68f37c,False,Basic,HealthTech,US,1.0,1.0,7.0,2296.0,1.0,False
A-aa9511,False,Pro,DevTools,US,1.0,1.0,8.0,3872.0,0.0,False
A-af0cd2,False,Enterprise,Cybersecurity,IN,1.0,1.0,8.0,2296.0,0.0,False
A-bd4513,False,Enterprise,DevTools,AU,2.0,2.0,22.0,9086.0,0.0,False
A-c222ab,True,Pro,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-34d880,False,Enterprise,Cybersecurity,AU,1.0,1.0,8.0,1208.0,2.0,False
A-508199,False,Basic,FinTech,AU,1.0,1.0,14.0,8148.0,0.0,False
A-f03140,False,Pro,DevTools,IN,2.0,2.0,15.0,4594.0,0.0,True
A-410e86,False,Basic,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-fa2041,False,Pro,HealthTech,US,1.0,1.0,9.0,3906.0,0.0,False
A-de58ca,False,Enterprise,HealthTech,DE,1.0,1.0,10.0,3730.0,1.0,False
A-05d3b3,False,Basic,DevTools,AU,1.0,1.0,15.0,1950.0,1.0,False
A-249769,True,Enterprise,Cybersecurity,US,2.0,2.0,16.0,7015.0,0.0,True
A-e43bf7,False,Pro,Cybersecurity,AU,0.0,0.0,0.0,0.0,0.0,0
A-eb2fdc,True,Enterprise,DevTools,AU,0.0,0.0,0.0,0.0,0.0,0
A-e1462e,False,Basic,FinTech,UK,1.0,1.0,11.0,1936.0,1.0,False
A-cab532,False,Pro,DevTools,FR,1.0,1.0,12.0,3972.0,0.0,False
A-9123ac,False,Pro,Cybersecurity,DE,0.0,0.0,0.0,0.0,0.0,0
A-6e08f3,False,Basic,Cybersecurity,US,1.0,1.0,7.0,2765.0,0.0,True
A-d922bf,True,Basic,HealthTech,US,1.0,1.0,9.0,900.0,0.0,False
A-8ed5dd,True,Enterprise,EdTech,UK,0.0,0.0,0.0,0.0,0.0,0
A-7c6b6b,False,Basic,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-3c1a3f,False,Pro,DevTools,UK,0.0,0.0,0.0,0.0,0.0,0
A-b48f73,False,Pro,EdTech,AU,0.0,0.0,0.0,0.0,0.0,0
A-76fa4d,False,Pro,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-b2af2e,False,Enterprise,Cybersecurity,UK,0.0,0.0,0.0,0.0,0.0,0
A-9bfc9f,False,Pro,DevTools,CA,0.0,0.0,0.0,0.0,0.0,0
A-4ae22a,True,Pro,EdTech,US,0.0,0.0,0.0,0.0,0.0,0
A-fda07f,False,Basic,Cybersecurity,FR,0.0,0.0,0.0,0.0,0.0,0
A-de24d5,False,Enterprise,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-977ca0,True,Basic,HealthTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-ab438f,True,Enterprise,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-e89151,True,Pro,FinTech,UK,1.0,1.0,12.0,6696.0,0.0,False
A-40906c,False,Basic,EdTech,US,1.0,1.0,13.0,4901.0,0.0,False
A-81edc3,False,Basic,Cybersecurity,IN,1.0,1.0,9.0,2808.0,0.0,False
A-328bd0,False,Enterprise,HealthTech,AU,0.0,0.0,0.0,0.0,0.0,0
A-b3fe05,False,Pro,Cybersecurity,CA,0.0,0.0,0.0,0.0,0.0,0
A-09540c,False,Basic,Cybersecurity,CA,0.0,0.0,0.0,0.0,0.0,0
A-e693b6,True,Enterprise,FinTech,AU,1.0,1.0,6.0,1866.0,0.0,False
A-2446e3,False,Pro,EdTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-241e75,False,Enterprise,EdTech,US,0.0,0.0,0.0,0.0,0.0,0
A-922109,False,Pro,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-ff3c73,False,Pro,HealthTech,AU,2.0,2.0,24.0,8384.0,0.0,False
A-8b0451,False,Enterprise,FinTech,UK,0.0,0.0,0.0,0.0,0.0,0
A-331424,False,Basic,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-51ec1b,False,Enterprise,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-bcf664,False,Pro,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-90a8c8,False,Pro,FinTech,AU,0.0,0.0,0.0,0.0,0.0,0
A-86cdb4,False,Basic,DevTools,DE,1.0,1.0,13.0,130.0,0.0,False
A-4bfa33,False,Basic,Cybersecurity,US,1.0,1.0,13.0,819.0,2.0,False
A-dbc825,False,Enterprise,EdTech,FR,3.0,3.0,41.0,6165.0,3.0,False
A-c70870,False,Basic,Cybersecurity,US,1.0,1.0,5.0,1165.0,0.0,False
A-7c4956,True,Enterprise,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-0651a4,False,Pro,HealthTech,FR,1.0,1.0,8.0,72.0,0.0,False
A-3ce5b8,True,Basic,FinTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-bd4708,False,Pro,FinTech,US,1.0,1.0,8.0,800.0,2.0,False
A-993085,False,Basic,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-92a3af,False,Enterprise,Cybersecurity,IN,0.0,0.0,0.0,0.0,0.0,0
A-151c9a,False,Enterprise,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-474ad4,False,Basic,EdTech,US,0.0,0.0,0.0,0.0,0.0,0
A-4ef964,False,Pro,HealthTech,US,1.0,1.0,10.0,3160.0,1.0,False
A-fd9422,False,Pro,Cybersecurity,US,1.0,1.0,15.0,165.0,0.0,False
A-0baac2,True,Enterprise,FinTech,DE,0.0,0.0,0.0,0.0,0.0,0
A-bb1486,False,Basic,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-560d27,False,Pro,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-0b0d6d,False,Pro,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-2789e3,False,Enterprise,FinTech,US,1.0,1.0,8.0,3600.0,0.0,False
A-b07346,True,Pro,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-902ef7,True,Enterprise,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-20736a,False,Enterprise,EdTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-e4bf56,True,Pro,HealthTech,IN,1.0,1.0,12.0,4152.0,0.0,False
A-cea1f0,True,Pro,FinTech,US,1.0,1.0,8.0,1264.0,0.0,True
A-ef84cf,False,Enterprise,EdTech,US,0.0,0.0,0.0,0.0,0.0,0
A-d49cc5,False,Basic,Cybersecurity,FR,0.0,0.0,0.0,0.0,0.0,0
A-67be94,False,Enterprise,EdTech,US,1.0,1.0,7.0,3311.0,0.0,False
A-4e960a,True,Enterprise,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-c37cab,False,Pro,Cybersecurity,UK,0.0,0.0,0.0,0.0,0.0,0
A-533452,False,Pro,DevTools,AU,3.0,3.0,17.0,7548.0,3.0,False
A-443b7c,True,Enterprise,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-1f7acb,False,Basic,FinTech,UK,1.0,1.0,10.0,4880.0,0.0,False
A-f51f16,False,Enterprise,HealthTech,US,1.0,1.0,10.0,3350.0,0.0,False
A-5a3eb9,False,Enterprise,DevTools,CA,1.0,1.0,10.0,1990.0,0.0,False
A-5f2961,False,Basic,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-417d2f,False,Pro,Cybersecurity,IN,1.0,1.0,8.0,3480.0,0.0,False
A-e98302,False,Enterprise,EdTech,US,0.0,0.0,0.0,0.0,0.0,0
A-8bde0c,False,Basic,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-bcf87c,True,Pro,FinTech,US,1.0,1.0,12.0,3684.0,0.0,False
A-54ecc2,False,Enterprise,Cybersecurity,US,2.0,2.0,17.0,7709.0,2.0,False
A-625d0b,False,Basic,EdTech,AU,0.0,0.0,0.0,0.0,0.0,0
A-fce879,True,Pro,EdTech,UK,1.0,1.0,14.0,5838.0,0.0,False
A-b07b56,True,Pro,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-6da850,False,Pro,FinTech,IN,1.0,1.0,13.0,2366.0,0.0,True
A-342303,False,Pro,EdTech,US,0.0,0.0,0.0,0.0,0.0,0
A-e7a1e2,False,Enterprise,Cybersecurity,US,1.0,1.0,11.0,1155.0,0.0,False
A-f1f639,False,Basic,EdTech,US,0.0,0.0,0.0,0.0,0.0,0
A-a865bd,False,Pro,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-4e631b,False,Enterprise,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-7f6b86,True,Basic,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-8adedc,True,Basic,EdTech,US,4.0,4.0,46.0,11214.0,2.0,False
A-2edab2,False,Enterprise,HealthTech,US,1.0,1.0,7.0,2387.0,1.0,False
A-149a69,False,Basic,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-a6d261,False,Pro,FinTech,CA,1.0,1.0,6.0,3396.0,0.0,False
A-443f6f,False,Basic,Cybersecurity,US,1.0,1.0,11.0,6578.0,1.0,False
A-202b67,False,Pro,HealthTech,US,2.0,2.0,21.0,7471.0,2.0,False
A-00bed1,False,Basic,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-ffc04f,False,Pro,EdTech,US,2.0,2.0,15.0,4350.0,1.0,False
A-65c341,False,Pro,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-dcc2f0,False,Basic,FinTech,UK,1.0,1.0,11.0,5082.0,0.0,False
A-ced9aa,False,Enterprise,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-3d957b,False,Pro,HealthTech,UK,0.0,0.0,0.0,0.0,0.0,0
