cohort_month,cohort_index,active_accounts,cohort_size,retention_rate
2023-04-01,10,24,25,0.96
2023-04-01,11,24,25,0.96
2023-04-01,12,24,25,0.96
2023-04-01,13,24,25,0.96
2023-04-01,14,24,25,0.96
2023-04-01,15,24,25,0.96
2023-04-01,16,24,25,0.96
2023-04-01,17,24,25,0.96
2023-04-01,18,24,25,0.96
2023-04-01,19,24,25,0.96
2023-04-01,20,24,25,0.96
2023-05-01,0,26,26,1.0
2023-05-01,1,26,26,1.0
2023-05-01,2,26,26,1.0
2023-05-01,3,26,26,1.0
2023-05-01,4,26,26,1.0
2023-05-01,5,26,26,1.0
2023-05-01,6,26,26,1.0
2023-05-01,7,26,26,1.0
2023-05-01,8,25,26,0.9615384615384616
2023-05-01,9,24,26,0.9230769230769231
2023-05-01,10,24,26,0.9230769230769231
2023-05-01,11,24,26,0.9230769230769231
2023-05-01,12,24,26,0.9230769230769231
2023-05-01,13,24,26,0.9230769230769231
2023-05-01,14,24,26,0.9230769230769231
2023-05-01,15,22,26,0.8461538461538461
2023-05-01,16,22,26,0.8461538461538461
2023-05-01,17,22,26,0.8461538461538461
2023-05-01,18,22,26,0.8461538461538461
2023-05-01,19,22,26,0.8461538461538461
2023-06-01,0,36,36,1.0
2023-06-01,1,36,36,1.0
2023-06-01,2,36,36,1.0
2023-06-01,3,36,36,1.0
2023-06-01,4,36,36,1.0
2023-06-01,5,36,36,1.0
2023-06-01,6,36,36,1.0
2023-06-01,7,36,36,1.0
2023-06-01,8,36,36,1.0
2023-06-01,9,36,36,1.0
2023-06-01,10,36,36,1.0
2023-06-01,11,36,36,1.0
2023-06-01,12,36,36,1.0
2023-06-01,13,36,36,1.0
2023-06-01,14,35,36,0.9722222222222222
2023-06-01,15,35,36,0.9722222222222222
2023-06-01,16,35,36,0.9722222222222222
2023-06-01,17,35,36,0.9722222222222222
2023-06-01,18,35,36,0.9722222222222222
2023-07-01,0,45,45,1.0
2023-07-01,1,45,45,1.0
2023-07-01,2,45,45,1.0
2023-07-01,3,45,45,1.0
2023-07-01,4,44,45,0.9777777777777777
2023-07-01,5,42,45,0.9333333333333333
2023-07-01,6,42,45,0.9333333333333333
2023-07-01,7,42,45,0.9333333333333333
2023-07-01,8,42,45,0.9333333333333333
2023-07-01,9,42,45,0.9333333333333333
2023-07-01,10,41,45,0.9111111111111111
2023-07-01,11,41,45,0.9111111111111111
2023-07-01,12,41,45,0.9111111111111111
2023-07-01,13,40,45,0.8888888888888888
2023-07-01,14,40,45,0.8888888888888888
2023-07-01,15,40,45,0.8888888888888888
2023-07-01,16,39,45,0.8666666666666667
2023-07-01,17,38,45,0.8444444444444444
2023-08-01,0,63,63,1.0
2023-08-01,1,63,63,1.0
2023-08-01,2,63,63,1.0
2023-08-01,3,63,63,1.0
2023-08-01,4,62,63,0.9841269841269841
2023-08-01,5,62,63,0.9841269841269841
2023-08-01,6,62,63,0.9841269841269841
2023-08-01,7,62,63,0.9841269841269841
2023-08-01,8,62,63,0.9841269841269841
2023-08-01,9,62,63,0.9841269841269841
2023-08-01,10,61,63,0.9682539682539683
2023-08-01,11,60,63,0.9523809523809523
2023-08-01,12,60,63,0.9523809523809523
2023-08-01,13,60,63,0.9523809523809523
2023-08-01,14,60,63,0.9523809523809523
2023-08-01,15,59,63,0.9365079365079365
2023-08-01,16,59,63,0.9365079365079365
2023-09-01,0,51,51,1.0
2023-09-01,1,51,51,1.0
2023-09-01,2,50,51,0.9803921568627451
2023-09-01,3,48,51,0.9411764705882353
2023-09-01,4,48,51,0.9411764705882353
2023-09-01,5,46,51,0.9019607843137255
2023-09-01,6,45,51,0.8823529411764706
2023-09-01,7,44,51,0.8627450980392157
2023-09-01,8,44,51,0.8627450980392157
2023-09-01,9,43,51,0.8431372549019608
2023-09-01,10,43,51,0.8431372549019608
2023-09-01,11,42,51,0.8235294117647058
2023-09-01,12,42,51,0.8235294117647058
2023-09-01,13,42,51,0.8235294117647058
2023-09-01,14,42,51,0.8235294117647058
2023-09-01,15,41,51,0.803921568627451
2023-10-01,0,65,65,1.0
2023-10-01,1,65,65,1.0
2023-10-01,2,65,65,1.0
2023-10-01,3,64,65,0.9846153846153847
2023-10-01,4,63,65,0.9692307692307692
2023-10-01,5,62,65,0.9538461538461539
2023-10-01,6,61,65,0.9384615384615385
2023-10-01,7,61,65,0.9384615384615385
2023-10-01,8,61,65,0.9384615384615385
2023-10-01,9,61,65,0.9384615384615385
2023-10-01,10,61,65,0.9384615384615385
2023-10-01,11,60,65,0.9230769230769231
2023-10-01,12,60,65,0.9230769230769231
2023-10-01,13,59,65,0.9076923076923077
2023-10-01,14,59,65,0.9076923076923077
2023-11-01,0,86,86,1.0
2023-11-01,1,86,86,1.0
2023-11-01,2,85,86,0.9883720930232558
2023-11-01,3,84,86,0.9767441860465116
2023-11-01,4,82,86,0.9534883720930233
2023-11-01,5,82,86,0.9534883720930233
2023-11-01,6,82,86,0.9534883720930233
2023-11-01,7,82,86,0.9534883720930233
2023-11-01,8,81,86,0.9418604651162791
2023-11-01,9,81,86,0.9418604651162791
2023-11-01,10,81,86,0.9418604651162791
2023-11-01,11,81,86,0.9418604651162791
2023-11-01,12,78,86,0.9069767441860465
2023-11-01,13,77,86,0.8953488372093024
2023-12-01,0,93,93,1.0
2023-12-01,1,93,93,1.0
2023-12-01,2,92,93,0.989247311827957
2023-12-01,3,92,93,0.989247311827957
2023-12-01,4,91,93,0.978494623655914
2023-12-01,5,91,93,0.978494623655914
2023-12-01,6,91,93,0.978494623655914
2023-12-01,7,91,93,0.978494623655914
2023-12-01,8,90,93,0.967741935483871
2023-12-01,9,90,93,0.967741935483871
2023-12-01,10,89,93,0.956989247311828
2023-12-01,11,88,93,0.946236559139785
2023-12-01,12,87,93,0.9354838709677419
2024-01-01,0,103,103,1.0
2024-01-01,1,101,103,0.9805825242718447
2024-01-01,2,100,103,0.970873786407767
2024-01-01,3,99,103,0.9611650485436893
2024-01-01,4,96,103,0.9320388349514563
2024-01-01,5,95,103,0.9223300970873787
2024-01-01,6,94,103,0.912621359223301
2024-01-01,7,94,103,0.912621359223301
2024-01-01,8,94,103,0.912621359223301
2024-01-01,9,94,103,0.912621359223301
2024-01-01,10,93,103,0.9029126213592233
2024-01-01,11,92,103,0.8932038834951457
2024-02-01,0,111,111,1.0
2024-02-01,1,111,111,1.0
2024-02-01,2,109,111,0.9819819819819819
2024-02-01,3,108,111,0.972972972972973
2024-02-01,4,107,111,0.963963963963964
2024-02-01,5,106,111,0.954954954954955
2024-02-01,6,106,111,0.954954954954955
2024-02-01,7,105,111,0.9459459459459459
2024-02-01,8,105,111,0.9459459459459459
2024-02-01,9,103,111,0.9279279279279279
2024-02-01,10,102,111,0.918918918918919
2024-03-01,0,146,146,1.0
2024-03-01,1,146,146,1.0
2024-03-01,2,146,146,1.0
2024-03-01,3,144,146,0.9863013698630136
2024-03-01,4,144,146,0.9863013698630136
2024-03-01,5,144,146,0.9863013698630136
2024-03-01,6,144,146,0.9863013698630136
2024-03-01,7,143,146,0.9794520547945206
2024-03-01,8,142,146,0.9726027397260274
2024-03-01,9,142,146,0.9726027397260274
2024-04-01,0,137,137,1.0
2024-04-01,1,137,137,1.0
2024-04-01,2,136,137,0.9927007299270073
2024-04-01,3,136,137,0.9927007299270073
2024-04-01,4,134,137,0.9781021897810219
2024-04-01,5,134,137,0.9781021897810219
2024-04-01,6,133,137,0.9708029197080292
2024-04-01,7,133,137,0.9708029197080292
2024-04-01,8,132,137,0.9635036496350365
2024-05-01,0,168,168,1.0
2024-05-01,1,168,168,1.0
2024-05-01,2,168,168,1.0
2024-05-01,3,166,168,0.9880952380952381
2024-05-01,4,165,168,0.9821428571428571
2024-05-01,5,163,168,0.9702380952380952
2024-05-01,6,160,168,0.9523809523809523
2024-05-01,7,159,168,0.9464285714285714
2024-06-01,0,168,168,1.0
2024-06-01,1,167,168,0.9940476190476191
2024-06-01,2,167,168,0.9940476190476191
2024-06-01,3,165,168,0.9821428571428571
2024-06-01,4,164,168,0.9761904761904762
2024-06-01,5,163,168,0.9702380952380952
2024-06-01,6,161,168,0.9583333333333334
2024-07-01,0,217,217,1.0
2024-07-01,1,217,217,1.0
2024-07-01,2,214,217,0.9861751152073732
2024-07-01,3,214,217,0.9861751152073732
2024-07-01,4,212,217,0.9769585253456221
2024-07-01,5,210,217,0.967741935483871
2024-08-01,0,212,212,1.0
2024-08-01,1,212,212,1.0
2024-08-01,2,210,212,0.9905660377358491
2024-08-01,3,206,212,0.9716981132075472
2024-08-01,4,203,212,0.9575471698113207
2024-09-01,0,248,248,1.0
2024-09-01,1,247,248,0.9959677419354839
2024-09-01,2,245,248,0.9879032258064516
2024-09-01,3,242,248,0.9758064516129032
2024-10-01,0,273,273,1.0
2024-10-01,1,272,273,0.9963369963369964
2024-10-01,2,266,273,0.9743589743589743
2024-11-01,0,300,300,1.0
2024-11-01,1,295,300,0.9833333333333333
2024-12-01,0,335,335,1.0
